"Fecha","Mes_V","Dia_V","Vendedor","Cliente","Marca","Modelo","Anio","Precio_USD","Porciento_Comision","Comision_USD","Cant_Cuotas","Cuotas_pagadas","Tipo_cliente"
"8/7/2022",8,7,"Brian Moran","Natalie Robertson","Honda","Corolla",2017,11248,0.147575436,1659.93,1,1,0
"12/30/2022",12,30,"Amanda Butler","Steven Liu","Chevrolet","Altima",2016,35191,0.096900235,3410.02,1,1,0
"8/2/2022",8,2,"Jacob Bishop","Samuel Wolfe","Chevrolet","Altima",2018,43594,0.057084698,2488.55,3,3,0
"2/26/2022",2,26,"Kimberly Jackson","Christopher Mason","Ford","Altima",2015,36964,0.147395046,5448.31,1,1,0
"11/12/2022",11,12,"Arthur Smith","Matthew Larson","Nissan","Altima",2018,41141,0.131314717,5402.42,1,1,0
"4/19/2022",4,19,"Kyle Chandler","Kelly Miller","Nissan","Civic",2015,16875,0.134927986,2276.91,1,1,0
"6/20/2022",6,20,"Andrea Morris","Tiffany Stewart","Ford","Civic",2016,34503,0.109229695,3768.75,1,1,0
"8/4/2022",8,4,"Gloria Mann","Chris Baker","Ford","Civic",2013,49225,0.11718011,5768.19,1,1,0
"4/19/2022",4,19,"Cindy Conner","Sandra Hart","Toyota","Civic",2015,43635,0.144807114,6318.66,1,1,0
"8/25/2022",8,25,"Mary Ward","Cory Green","Chevrolet","F-150",2015,15892,0.106485028,1692.26,1,1,0
"8/28/2022",8,28,"Andrew Washington","Thomas White","Honda","Silverado",2022,37655,0.078801112,2967.26,1,1,0
"5/21/2022",5,21,"Ashley Bender","Anthony Lopez","Toyota","Corolla",2021,26159,0.14636523,3828.77,1,1,0
"10/24/2022",10,24,"Selena Smith","April Allen","Toyota","Silverado",2020,27854,0.10729293,2988.54,1,1,0
"12/12/2022",12,12,"Russell Atkinson","Kathleen Smith","Chevrolet","Civic",2017,31367,0.072717467,2280.93,1,1,0
"11/9/2022",11,9,"Carol King","Joshua Edwards","Ford","Silverado",2012,45611,0.077783199,3547.77,1,1,0
"3/29/2022",3,29,"Christopher Mendoza","Rose Johnson","Chevrolet","F-150",2017,47493,0.051674859,2454.19,1,1,0
"5/13/2022",5,13,"David Oconnor","Jean Ramirez","Nissan","F-150",2013,38728,0.111280273,4309.66,1,1,0
"12/10/2022",12,10,"Alejandro Johnson","Brandon Walker","Toyota","Corolla",2018,20474,0.104818293,2146.05,1,1,0
"1/25/2022",1,25,"Kevin Johnson","Robert Henry DDS","Nissan","Corolla",2017,27532,0.120323162,3312.74,1,1,0
"9/1/2022",9,1,"Amanda Branch","Paul Pham","Honda","Altima",2022,48674,0.101480119,4939.44,1,1,0
"3/6/2022",3,6,"John Newton","Hannah Freeman","Nissan","F-150",2021,24435,0.091475176,2235.2,1,1,0
"5/12/2022",5,12,"Kristen Martinez","David Camacho","Honda","Silverado",2014,12312,0.144252967,1776.04,1,1,0
"2/8/2022",2,8,"Kimberly Maldonado","Dennis Cardenas","Toyota","Corolla",2021,29298,0.076405583,2238.53,1,1,0
"1/28/2022",1,28,"Jacob Bishop","Sherry Elliott","Toyota","F-150",2014,49461,0.122389396,6053.5,1,1,0
"12/30/2022",12,30,"Michael Walton","Sarah Evans","Honda","Altima",2011,24893,0.132947841,3309.47,1,1,0
"3/5/2022",3,5,"John Newton","Stephanie Mendez","Chevrolet","Altima",2015,15463,0.138672834,2144.3,1,1,0
"6/10/2022",6,10,"Kristen Martinez","Joseph Davis","Chevrolet","F-150",2022,43427,0.101289257,4398.69,1,1,0
"5/20/2022",5,20,"Kimberly Maldonado","Antonio Atkins IV","Ford","Silverado",2019,32745,0.137610178,4506.05,1,1,0
"12/30/2022",12,30,"Tara Hubbard","Douglas Frank","Honda","Civic",2016,44326,0.082696251,3665.59,1,1,0
"2/11/2022",2,11,"Heather Davidson","Travis Barnes","Toyota","Altima",2010,35908,0.064526477,2317.02,1,1,0
"8/10/2022",8,10,"Betty Young","Ethan Marquez","Chevrolet","Silverado",2020,25433,0.134057045,3409.47,1,1,0
"10/24/2022",10,24,"Chad Davis","Sarah Cochran","Chevrolet","Silverado",2018,26811,0.140135159,3757.16,1,1,0
"4/28/2022",4,28,"Lauren Hernandez","Andrea Shepherd","Chevrolet","Civic",2020,15607,0.106768286,1666.33,1,1,0
"3/7/2022",3,7,"David Diaz","Renee Herrera","Chevrolet","Civic",2013,20064,0.090177565,1809.32,1,1,0
"8/1/2022",8,1,"Brian Moran","Sylvia Williams","Toyota","Corolla",2019,48779,0.052899612,2580.39,1,1,0
"5/1/2022",5,1,"Amanda Butler","Pamela Lynn","Chevrolet","Altima",2022,43674,0.099337365,4338.46,1,1,0
"1/24/2022",1,24,"Jacob Bishop","John Santiago","Chevrolet","Altima",2013,22172,0.072195476,1600.72,1,1,0
"7/28/2022",7,28,"Vanessa Perry","Charles Bailey","Chevrolet","Civic",2017,13133,0.147607023,1938.52,1,1,0
"7/19/2022",7,19,"Victor Griffin","Jacqueline Boyd","Honda","Corolla",2010,17406,0.108585137,1890.03,1,1,0
"12/8/2022",12,8,"Dale Williams","Shannon Russell","Toyota","Silverado",2011,42233,0.063087692,2664.38,1,1,0
"1/14/2022",1,14,"Paul Hall","Jeffrey Thompson","Chevrolet","Corolla",2020,12813,0.077213188,989.33,1,1,0
"12/14/2022",12,14,"John Newton","Paul Jackson","Nissan","F-150",2019,44048,0.123513232,5440.51,1,1,0
"12/10/2022",12,10,"Kristen Martinez","Karen Yang","Honda","Corolla",2021,47114,0.064291339,3029.02,1,1,0
"6/9/2022",6,9,"Kimberly Maldonado","Dillon Solis","Toyota","Altima",2020,48709,0.089118493,4340.87,1,1,0
"3/26/2022",3,26,"Tara Hubbard","Alexandra Knapp","Toyota","F-150",2017,38549,0.078654286,3032.04,1,1,0
"3/15/2022",3,15,"Ashley Ramos","Christopher Landry","Toyota","Silverado",2012,33017,0.116353089,3841.63,1,1,0
"2/27/2022",2,27,"Patrick Harris","Jennifer Montes","Chevrolet","Altima",2014,20130,0.114836207,2311.65,1,1,0
"7/30/2022",7,30,"Eric Lopez","Lindsay Mccormick","Ford","F-150",2019,10854,0.071441871,775.43,1,1,0
"2/27/2022",2,27,"Terry Perkins MD","Amanda Mitchell","Ford","Silverado",2022,32233,0.116642969,3759.75,1,1,0
"12/21/2022",12,21,"Ashley Brown","Daniel Schmitt","Honda","F-150",2021,15735,0.050976397,802.11,1,1,0
"11/19/2022",11,19,"Norma Watkins","Cory Singleton","Chevrolet","F-150",2017,47014,0.119202283,5604.18,1,1,0
"7/26/2022",7,26,"Scott Parker","Brittany Miller","Nissan","Corolla",2011,19556,0.0823885,1611.19,1,1,0
"3/15/2022",3,15,"Andrew Smith","Dr. Cindy Roberts","Nissan","Civic",2010,11457,0.083015194,951.11,1,1,0
"3/5/2022",3,5,"Harold Nelson","Kelly Mills","Honda","Civic",2021,38562,0.072288611,2787.59,1,1,0
"10/26/2022",10,26,"Jacob Bishop","Tanya Green","Chevrolet","Silverado",2013,14566,0.060682467,883.9,1,1,0
"12/29/2022",12,29,"Michael Walton","Travis Fox","Honda","F-150",2021,45660,0.109158621,4984.18,1,1,0
"5/20/2022",5,20,"John Newton","Rachel Whitehead","Ford","Corolla",2022,11372,0.098670981,1122.09,1,1,0
"7/7/2022",7,7,"Kristen Martinez","Matthew Fisher MD","Nissan","F-150",2014,21526,0.09282293,1998.11,1,1,0
"3/12/2022",3,12,"Kimberly Maldonado","Francisco Schneider","Ford","Altima",2019,42766,0.095125585,4068.14,3,3,0
"1/16/2022",1,16,"Tara Hubbard","John Skinner","Toyota","Corolla",2016,19993,0.05000216,999.69,1,1,0
"1/24/2022",1,24,"Heather Davidson","Shelley Welch","Chevrolet","Silverado",2018,21258,0.08647141,1838.21,1,1,0
"12/26/2022",12,26,"Betty Young","Stephanie Garcia","Nissan","F-150",2016,48180,0.113473923,5467.17,1,1,0
"2/20/2022",2,20,"Chad Davis","Denise Velez","Ford","F-150",2021,22268,0.055122106,1227.46,1,1,0
"5/27/2022",5,27,"Lauren Hernandez","Christine Bradford","Nissan","Civic",2012,25447,0.135362994,3444.58,1,1,0
"7/11/2022",7,11,"David Diaz","Angela Ramos","Honda","Silverado",2018,23454,0.07415248,1739.17,1,1,0
"6/30/2022",6,30,"Brian Moran","Andrew Townsend","Ford","Corolla",2017,33224,0.118367779,3932.65,1,1,0
"4/27/2022",4,27,"Amanda Butler","Darlene Travis","Honda","Altima",2017,38751,0.143619062,5565.38,1,1,0
"8/11/2022",8,11,"Jacob Bishop","Mary Taylor","Chevrolet","Corolla",2015,23319,0.133155509,3105.05,1,1,0
"7/11/2022",7,11,"Terry Perkins MD","Leslie Scott","Toyota","Silverado",2013,10067,0.123670066,1244.99,1,1,0
"3/3/2022",3,3,"Ashley Brown","Eric Thornton","Chevrolet","Civic",2015,45862,0.074396419,3411.97,1,1,0
"6/16/2022",6,16,"Norma Watkins","Lynn Harris","Nissan","F-150",2016,18286,0.135828121,2483.75,1,1,0
"2/24/2022",2,24,"Scott Parker","Carl Hernandez","Toyota","Corolla",2017,20553,0.080773672,1660.14,1,1,0
"3/17/2022",3,17,"Andrew Smith","Christine Parker","Toyota","Silverado",2010,43218,0.141376758,6110.02,1,1,0
"8/12/2022",8,12,"Harold Nelson","Robin Mcintosh","Ford","Civic",2021,33221,0.087297164,2900.1,1,1,0
"4/24/2022",4,24,"Richard Richardson","Jessica Martin","Nissan","Civic",2014,13931,0.110384276,1537.76,1,1,0
"11/14/2022",11,14,"Jenny Webster","Jason Pugh","Chevrolet","Corolla",2018,19666,0.137933425,2712.6,1,1,0
"11/22/2022",11,22,"Michael Henderson","Ellen Brewer","Toyota","Altima",2010,44249,0.064748187,2865.04,1,1,0
"5/14/2022",5,14,"Melissa Cline","Mrs. Jessica Wilson MD","Toyota","Silverado",2017,12013,0.085403389,1025.95,1,1,0
"10/16/2022",10,16,"Caleb Martinez DDS","Michelle Mendez","Chevrolet","Silverado",2021,31841,0.118439009,3771.22,1,1,0
"5/1/2022",5,1,"Jason Jackson","Michael Payne","Nissan","Corolla",2022,41449,0.076826727,3184.39,1,1,0
"2/18/2022",2,18,"Michelle Fuller","Kristy Brown","Nissan","Altima",2011,16779,0.097095229,1629.16,1,1,0
"1/11/2022",1,11,"Shannon Cruz","Becky Castillo","Toyota","F-150",2020,45908,0.135212639,6207.34,1,1,0
"10/15/2022",10,15,"John Newton","Andrew Duncan","Toyota","Altima",2011,45839,0.1155839,5298.25,1,1,0
"11/13/2022",11,13,"Kristen Martinez","Nathan Diaz","Nissan","Corolla",2011,14507,0.085988837,1247.44,1,1,0
"6/16/2022",6,16,"Kimberly Maldonado","Dana Mata","Ford","Corolla",2010,31026,0.071262414,2210.99,1,1,0
"4/25/2022",4,25,"Tara Hubbard","Kyle Hill","Honda","Corolla",2017,46250,0.110094083,5091.85,1,1,0
"9/2/2022",9,2,"Jacob Bishop","Kevin Harvey","Nissan","Altima",2016,28591,0.114410086,3271.1,1,1,0
"6/17/2022",6,17,"Michael Walton","Kendra Stein","Nissan","Altima",2015,31143,0.132036253,4112.01,10,10,0
"5/17/2022",5,17,"John Newton","Sheena Lewis","Chevrolet","Silverado",2016,28204,0.092110884,2597.9,1,1,0
"11/27/2022",11,27,"Kristen Martinez","Carol Henry","Honda","Corolla",2020,31386,0.118716579,3726.04,1,1,0
"8/19/2022",8,19,"Kimberly Maldonado","Stephen Perez","Toyota","Silverado",2022,42409,0.116102507,4923.79,1,1,0
"10/23/2022",10,23,"Tara Hubbard","Brian Bates","Honda","Silverado",2017,27318,0.060005939,1639.24,1,1,0
"3/8/2022",3,8,"Heather Davidson","Alejandro Holt","Nissan","Civic",2014,14698,0.059679003,877.16,1,1,0
"8/30/2022",8,30,"Betty Young","Cynthia Wells","Honda","Corolla",2010,42121,0.070755842,2980.31,1,1,0
"3/22/2022",3,22,"Chad Davis","Eric Hickman","Toyota","F-150",2016,36472,0.142495613,5197.1,1,1,0
"9/27/2022",9,27,"Lauren Hernandez","Jennifer Anderson","Nissan","Silverado",2014,35150,0.095719699,3364.55,1,1,0
"9/1/2022",9,1,"David Diaz","Daniel Patterson Jr.","Honda","Corolla",2020,48729,0.053908033,2626.88,1,1,0
"2/2/2022",2,2,"Brian Moran","Molly Crawford","Nissan","Altima",2016,31699,0.117006649,3708.99,1,1,0
"11/1/2022",11,1,"Amanda Butler","Christie Hunter","Toyota","Altima",2015,48969,0.079225824,3879.61,1,1,0
"10/23/2022",10,23,"Jacob Bishop","Nancy Davis","Nissan","Altima",2014,42995,0.080287046,3451.94,1,1,0
"1/24/2022",1,24,"John Newton","Michele Morgan","Chevrolet","Silverado",2017,25721,0.075790217,1949.4,1,1,0
"2/17/2022",2,17,"Kristen Martinez","John Miles","Nissan","Silverado",2018,39961,0.08942382,3573.47,1,1,0
"4/12/2022",4,12,"Kimberly Maldonado","Renee Phillips","Toyota","Silverado",2017,30720,0.130696765,4015,1,1,0
"2/9/2022",2,9,"Tara Hubbard","Emily Moses","Honda","Silverado",2014,39757,0.136853463,5440.88,1,1,0
"5/28/2022",5,28,"Ashley Ramos","Ryan Barnes","Ford","Civic",2019,24673,0.104844397,2586.83,1,1,0
"1/3/2022",1,3,"Patrick Harris","Veronica White","Ford","Altima",2014,24010,0.142086508,3411.5,1,1,0
"12/20/2022",12,20,"Jacob Bishop","Christine Scott","Toyota","Silverado",2020,12606,0.129309311,1630.07,1,1,0
"8/19/2022",8,19,"Michael Walton","Jennifer Ritter","Honda","Corolla",2016,47608,0.123129616,5861.95,1,1,0
"3/4/2022",3,4,"John Newton","Dominique Carlson","Ford","Civic",2020,37065,0.079866543,2960.25,1,1,0
"6/27/2022",6,27,"Kristen Martinez","Audrey Cooper","Ford","Civic",2017,28539,0.107540134,3069.09,1,1,0
"4/5/2022",4,5,"Kimberly Maldonado","Mr. Jake Marquez","Ford","Altima",2019,26971,0.122022775,3291.08,1,1,0
"5/4/2022",5,4,"Tara Hubbard","Michael Murphy","Toyota","Silverado",2018,30286,0.125772834,3809.16,1,1,0
"2/3/2022",2,3,"Heather Davidson","Patrick Thomas","Ford","Civic",2016,45257,0.092801954,4199.94,1,1,0
"11/13/2022",11,13,"Betty Young","Michael Chandler","Toyota","Silverado",2019,35271,0.059142926,2086.03,1,1,0
"2/25/2022",2,25,"Chad Davis","Timothy Miller","Chevrolet","F-150",2013,16272,0.102119475,1661.69,1,1,0
"8/1/2022",8,1,"Lauren Hernandez","Robert Tucker","Ford","Civic",2013,28149,0.071137321,2002.44,1,1,0
"4/27/2022",4,27,"David Diaz","John Rogers","Nissan","Silverado",2010,15021,0.136241677,2046.49,1,1,0
"12/23/2022",12,23,"Brian Moran","John Glenn","Toyota","F-150",2015,46673,0.102520665,4784.95,1,1,0
"4/13/2022",4,13,"Amanda Butler","Ashley Marquez","Toyota","F-150",2015,31679,0.08055814,2552,1,1,0
"3/19/2022",3,19,"Jacob Bishop","Joseph Kerr","Ford","Silverado",2014,40621,0.0612262,2487.07,1,1,0
"5/25/2022",5,25,"Kristen Martinez","Alfred Butler","Honda","F-150",2017,22369,0.095342474,2132.72,1,1,0
"10/3/2022",10,3,"Kimberly Maldonado","Christopher Smith","Ford","Civic",2011,37862,0.087528529,3314.01,1,1,0
"8/14/2022",8,14,"Tara Hubbard","Ashley Carr","Chevrolet","Silverado",2015,42449,0.069206145,2937.73,1,1,0
"8/25/2022",8,25,"Jacob Bishop","Kayla Hernandez","Ford","Silverado",2011,36410,0.130661672,4757.39,1,1,0
"11/21/2022",11,21,"Michael Walton","Donna Jones","Ford","Civic",2017,46640,0.140119304,6535.16,1,1,0
"11/3/2022",11,3,"John Newton","Maria White","Ford","Civic",2013,34417,0.118633695,4083.02,1,1,0
"11/5/2022",11,5,"Kristen Martinez","Joseph Livingston","Chevrolet","F-150",2014,42602,0.092817109,3954.19,1,1,0
"4/29/2022",4,29,"Kimberly Maldonado","Justin Moore","Ford","Civic",2017,46312,0.105941253,4906.35,1,1,0
"7/29/2022",7,29,"Tara Hubbard","Maria Briggs","Nissan","Corolla",2016,45589,0.106894879,4873.23,1,1,0
"2/7/2022",2,7,"Heather Davidson","John Parker","Honda","Silverado",2015,44779,0.10669721,4777.79,1,1,0
"2/6/2022",2,6,"Betty Young","Gabriel Garcia","Chevrolet","Altima",2019,41842,0.146453913,6127.92,1,1,0
"8/8/2022",8,8,"Chad Davis","Randy Noble","Toyota","Corolla",2020,36840,0.137618298,5069.86,1,1,0
"1/25/2022",1,25,"Lauren Hernandez","James Summers","Ford","F-150",2015,17171,0.142546731,2447.67,1,1,0
"1/31/2022",1,31,"David Diaz","Kenneth Tyler","Nissan","Altima",2017,31156,0.102393778,3190.18,1,1,0
"4/23/2022",4,23,"Brian Moran","Kirk Lowe","Toyota","Altima",2017,29442,0.149890205,4413.07,1,1,0
"9/19/2022",9,19,"Amanda Butler","Kathleen Perry","Nissan","Corolla",2021,30422,0.092048086,2800.29,1,1,0
"9/28/2022",9,28,"Jacob Bishop","Daniel Keller","Chevrolet","Civic",2017,24838,0.100163473,2487.86,1,1,0
"4/15/2022",4,15,"Samuel Bailey","Pamela Fisher","Ford","Altima",2010,31507,0.141868078,4469.84,1,1,0
"6/23/2022",6,23,"John Newton","Anthony Fleming","Chevrolet","Corolla",2011,45287,0.085259211,3861.13,1,1,0
"2/10/2022",2,10,"Kristen Martinez","Barry Decker","Nissan","Silverado",2019,13085,0.061858079,809.41,1,1,0
"4/14/2022",4,14,"Kimberly Maldonado","Mary Johnson","Nissan","Altima",2011,29936,0.073987924,2214.9,1,1,0
"7/17/2022",7,17,"Tara Hubbard","Michael Carlson","Ford","Civic",2013,31900,0.07614751,2429.11,1,1,0
"6/11/2022",6,11,"Ashley Ramos","Kevin Davis","Honda","Civic",2011,31050,0.084945255,2637.55,1,1,0
"9/7/2022",9,7,"Patrick Harris","Miranda Moore","Ford","F-150",2017,40988,0.079246562,3248.16,6,6,0
"2/11/2022",2,11,"Eric Lopez","Stephanie Stanley","Honda","Altima",2012,19530,0.108669956,2122.32,1,1,0
"5/5/2022",5,5,"Terry Perkins MD","Donald Smith","Chevrolet","Altima",2010,24606,0.092016975,2264.17,1,1,0
"7/18/2022",7,18,"Ashley Brown","Casey Saunders","Chevrolet","Corolla",2011,46494,0.05097661,2370.11,1,1,0
"2/14/2022",2,14,"Norma Watkins","Laura Jones","Toyota","F-150",2022,13756,0.138670924,1907.56,1,1,0
"11/16/2022",11,16,"Scott Parker","Kim Aguilar DDS","Toyota","F-150",2014,44308,0.077016327,3412.44,1,1,0
"5/31/2022",5,31,"Andrew Smith","Danielle Mack","Chevrolet","F-150",2012,34172,0.133677318,4568.02,1,1,0
"8/26/2022",8,26,"Harold Nelson","James Taylor","Honda","Corolla",2015,26438,0.14714153,3890.13,1,1,0
"8/17/2022",8,17,"Richard Richardson","Jessica Hamilton","Nissan","Altima",2020,17715,0.114374962,2026.15,1,1,0
"1/22/2022",1,22,"Jessica Jimenez","Jennifer Hernandez","Honda","Altima",2022,44752,0.080793011,3615.65,6,5,1
"9/3/2022",9,3,"Jessica Guerrero","Mark Dudley","Nissan","Silverado",2020,13705,0.062327464,854.2,1,1,0
"3/18/2022",3,18,"Christian Carter","Alexander Stokes","Chevrolet","F-150",2012,13204,0.132188342,1745.41,1,1,0
"8/7/2022",8,7,"Gregory Lewis","Christina Murphy","Ford","Corolla",2012,23332,0.091599813,2137.21,1,1,0
"4/27/2022",4,27,"Jesse Lawrence","Brandon Wolf","Ford","Civic",2016,33607,0.131143636,4407.34,1,1,0
"3/10/2022",3,10,"Jordan Evans","Madison Rivera","Honda","F-150",2022,20819,0.099364416,2068.67,1,1,0
"10/8/2022",10,8,"Nicholas Ballard","Sharon Maxwell","Chevrolet","Altima",2020,13726,0.073201226,1004.76,1,1,0
"12/3/2022",12,3,"John Newton","Christopher Dominguez","Chevrolet","Civic",2015,24760,0.100993346,2500.6,1,1,0
"9/29/2022",9,29,"Kristen Martinez","Kimberly Hughes","Toyota","Altima",2010,17443,0.111436078,1943.78,1,1,0
"12/10/2022",12,10,"Kimberly Maldonado","Michelle Beck","Ford","Silverado",2021,11203,0.085945181,962.84,1,1,0
"2/13/2022",2,13,"Tara Hubbard","Thomas Peters","Ford","F-150",2016,15529,0.133077016,2066.55,1,1,0
"10/18/2022",10,18,"Ashley Ramos","Ryan Hernandez","Ford","Civic",2010,17532,0.126231783,2213.1,1,1,0
"5/27/2022",5,27,"Patrick Harris","Courtney Sullivan","Nissan","Civic",2022,24292,0.141819805,3445.09,1,1,0
"11/13/2022",11,13,"Jacob Bishop","Jennifer Hall","Chevrolet","Civic",2010,43050,0.114986185,4950.16,1,1,0
"6/8/2022",6,8,"Michael Walton","Joel Garrett","Nissan","Silverado",2014,18693,0.058118731,1086.41,1,1,0
"9/13/2022",9,13,"John Newton","Jeffrey Cooper","Toyota","Civic",2020,37788,0.111346053,4207.54,1,1,0
"3/22/2022",3,22,"Kristen Martinez","Dillon Johnson","Honda","Silverado",2012,49929,0.093433692,4665.05,6,3,1
"7/25/2022",7,25,"Kimberly Maldonado","Jose King","Nissan","Corolla",2017,28026,0.053538008,1500.46,1,1,0
"1/29/2022",1,29,"Tara Hubbard","Andrew Roth","Honda","Civic",2011,42145,0.087289118,3678.8,1,1,0
"5/12/2022",5,12,"Heather Davidson","Courtney Wright","Honda","F-150",2012,35800,0.06054802,2167.62,1,1,0
"7/23/2022",7,23,"Betty Young","Angel Rose","Ford","F-150",2019,38050,0.132951135,5058.79,1,1,0
"1/4/2022",1,4,"Chad Davis","Rachel Bowen","Nissan","F-150",2021,45151,0.077072302,3479.89,1,1,0
"3/2/2022",3,2,"Lauren Hernandez","Michael Orozco","Honda","Altima",2019,34856,0.10998697,3833.71,1,1,0
"3/7/2022",3,7,"David Diaz","Donald Diaz","Toyota","Silverado",2022,20930,0.062233074,1302.54,1,1,0
"12/23/2022",12,23,"Brian Moran","Joseph Tran","Toyota","Corolla",2010,46665,0.11008936,5137.32,1,1,0
"9/29/2022",9,29,"Amanda Butler","Gabriel Anderson","Nissan","Civic",2021,45192,0.061448178,2776.97,1,1,0
"2/3/2022",2,3,"Jacob Bishop","Leslie Garcia","Toyota","Corolla",2010,15839,0.130557471,2067.9,1,1,0
"4/26/2022",4,26,"John Newton","Laura Brown","Toyota","Civic",2022,21492,0.132778844,2853.68,1,1,0
"10/25/2022",10,25,"Kristen Martinez","Cynthia Cabrera","Chevrolet","Silverado",2018,21527,0.128155872,2758.81,1,1,0
"12/17/2022",12,17,"Kimberly Maldonado","Stephen Russell","Toyota","Silverado",2013,15980,0.146767613,2345.35,1,1,0
"7/24/2022",7,24,"Tara Hubbard","Patrick Brady","Honda","Silverado",2016,30295,0.136748179,4142.79,1,1,0
"8/20/2022",8,20,"Ashley Ramos","Zachary Brown","Chevrolet","Civic",2017,11864,0.083191279,986.98,1,1,0
"4/26/2022",4,26,"Patrick Harris","Jessica Reid","Chevrolet","Corolla",2015,29817,0.062327834,1858.43,1,1,0
"12/13/2022",12,13,"Eric Lopez","Jason Murphy","Toyota","Silverado",2013,36173,0.093557935,3384.27,1,1,0
"8/21/2022",8,21,"Terry Perkins MD","Timothy Ellis","Toyota","Corolla",2011,27133,0.073526554,1995,1,1,0
"2/15/2022",2,15,"Ashley Brown","Randall Yang","Toyota","Silverado",2014,37913,0.137417938,5209.93,1,1,0
"5/11/2022",5,11,"Norma Watkins","Cory Rogers","Honda","F-150",2017,37923,0.091910432,3485.52,1,1,0
"3/23/2022",3,23,"Scott Parker","Bradley Wilcox","Honda","Civic",2010,49122,0.070310096,3453.77,1,1,0
"4/16/2022",4,16,"Andrew Smith","Brenda Werner","Honda","Corolla",2021,25069,0.071331945,1788.22,1,1,0
"8/24/2022",8,24,"Harold Nelson","Scott Donovan","Honda","Civic",2017,44652,0.083283473,3718.77,1,1,0
"11/3/2022",11,3,"Richard Richardson","Donald Gregory Jr.","Nissan","Altima",2020,29694,0.055507208,1648.23,1,1,0
"3/22/2022",3,22,"Roger Strong","Adam Richardson","Nissan","Altima",2019,25601,0.098465809,2520.82,1,1,0
"12/23/2022",12,23,"Tracy Li","Amber Wells","Honda","Civic",2014,29843,0.054172647,1616.67,1,1,0
"1/16/2022",1,16,"Curtis Gutierrez","Jorge Williams","Toyota","F-150",2011,21667,0.141795717,3072.29,1,1,0
"8/31/2022",8,31,"Russell Graham","Benjamin Boyle","Honda","Civic",2017,14344,0.141775724,2033.63,1,1,0
"12/13/2022",12,13,"David Guzman","Sheila Frank","Nissan","Silverado",2022,40186,0.14989199,6023.56,1,1,0
"12/9/2022",12,9,"Cindy Parker","Amanda Ferrell","Honda","Corolla",2011,13766,0.129079333,1776.91,1,1,0
"12/23/2022",12,23,"Mrs. Jennifer Page","Kyle Collins","Honda","Altima",2018,21350,0.103338049,2206.27,1,1,0
"5/7/2022",5,7,"John Newton","Roberta Wall","Nissan","F-150",2016,11280,0.132880034,1498.89,1,1,0
"1/10/2022",1,10,"Kristen Martinez","Colin Wilson","Chevrolet","Corolla",2021,16613,0.091766969,1524.52,1,1,0
"3/25/2022",3,25,"Kimberly Maldonado","Ashlee Guzman","Nissan","Civic",2013,39916,0.122112009,4874.22,1,1,0
"5/29/2022",5,29,"Tara Hubbard","Robert Conley","Ford","Civic",2021,26876,0.086318525,2319.9,1,1,0
"2/3/2022",2,3,"Ashley Ramos","Nancy Cooley","Nissan","Silverado",2012,35616,0.148981016,5306.11,1,1,0
"9/25/2022",9,25,"Patrick Harris","Ashley Benton","Toyota","F-150",2011,30248,0.065154038,1970.78,1,1,0
"4/27/2022",4,27,"Eric Lopez","Christine Perez","Chevrolet","Silverado",2014,10025,0.059271937,594.2,1,1,0
"3/24/2022",3,24,"Terry Perkins MD","Michael Dawson","Chevrolet","F-150",2012,17326,0.120964077,2095.82,1,1,0
"5/1/2022",5,1,"Jacob Bishop","Stanley Perez","Nissan","Civic",2021,36948,0.11820734,4367.52,3,1,1
"12/2/2022",12,2,"Michael Walton","Rachel Estrada","Toyota","Corolla",2013,15025,0.132165849,1985.79,1,1,0
"9/16/2022",9,16,"John Newton","Mrs. Karla Horn","Ford","Corolla",2020,36925,0.143845407,5311.49,1,1,0
"2/20/2022",2,20,"Kristen Martinez","Samuel Duke","Ford","Altima",2017,39332,0.114974011,4522.16,1,1,0
"8/24/2022",8,24,"Kimberly Maldonado","Kendra Clark","Ford","F-150",2014,45837,0.086689901,3973.6,1,1,0
"6/30/2022",6,30,"Tara Hubbard","Tammy Ward","Honda","Silverado",2016,38265,0.08034791,3074.51,1,1,0
"4/29/2022",4,29,"Heather Davidson","Valerie Salazar","Ford","Altima",2018,48884,0.083590255,4086.23,1,1,0
"1/4/2022",1,4,"Betty Young","Crystal Dean","Honda","Civic",2022,15231,0.121576275,1851.73,1,1,0
"10/25/2022",10,25,"Chad Davis","Anthony Peters","Toyota","Corolla",2018,32520,0.13987486,4548.73,1,1,0
"12/14/2022",12,14,"Lauren Hernandez","Yvonne Harper","Honda","F-150",2015,41135,0.144529851,5945.24,1,1,0
"5/25/2022",5,25,"David Diaz","Andrea Diaz","Ford","Silverado",2014,37862,0.147721215,5593.02,1,1,0
"4/18/2022",4,18,"Brian Moran","Tina Simpson","Nissan","Civic",2013,14671,0.137177572,2012.53,1,1,0
"4/17/2022",4,17,"Amanda Butler","Chelsea Webb","Chevrolet","Corolla",2014,19940,0.148989448,2970.85,1,1,0
"2/3/2022",2,3,"Jacob Bishop","Julia Mcclain","Chevrolet","Altima",2019,28152,0.064239202,1808.46,1,1,0
"6/1/2022",6,1,"John Newton","Tommy Gonzalez","Nissan","Silverado",2018,48410,0.085320319,4130.36,1,1,0
"4/29/2022",4,29,"Kristen Martinez","Daniel Case DVM","Ford","Altima",2010,17862,0.107374253,1917.92,1,1,0
